Data Conversion.state_fips,Data Conversion.period,Data Conversion.all_providers,Data Conversion.all_primary_care_providers,Data Conversion.all_physicians,Data Conversion.all_primary_care_physicians,Data Conversion.all_nurse_practitioners,Data Conversion.all_primary_care_nurse_practitioners,Data Conversion.all_physician_assistants,Data Conversion.all_primary_care_physician_assistants,all_providers,all_primary_care_providers,all_physicians,all_primary_care_physicians,all_physician_assistants,all_primary_care_nurse_practitioners,all_nurse_practitioners,all_primary_care_physician_assistants,state_fips,period,NotMatching
1,2011,9676,4064,8281,3341,1036,617,359,106,9262,3871,7958,3208,338,567,968,96,1,2011,True
1,2012,9881,4180,8427,3409,1122,677,333,94,9883,4179,8429,3410,333,677,1121,92,1,2012,True
1,2013,9488,4061,7925,3140,1239,806,324,115,9485,4069,7921,3148,324,806,1240,115,1,2013,True
2,2011,1933,975,1445,647,246,162,242,166,1852,944,1394,635,224,154,237,155,2,2011,True
2,2012,1981,996,1450,638,278,187,253,171,1982,998,1453,639,254,187,278,172,2,2012,True
2,2013,1997,1036,1434,662,295,192,268,182,1999,1037,1433,663,269,192,295,182,2,2013,True
4,2011,14530,5898,11622,4312,1619,970,1289,616,13549,5434,10927,4013,1163,880,1462,541,4,2011,True
4,2012,15088,6060,12005,4428,1732,1001,1351,631,14750,5852,11775,4287,1293,976,1685,589,4,2012,True
4,2013,14446,5931,11265,4180,1782,1065,1401,686,14445,5933,11264,4181,1402,1065,1782,687,4,2013,True
5,2011,5456,2520,4589,1964,716,479,151,77,5229,2405,4425,1888,142,447,668,70,5,2011,True
5,2012,5737,2575,4795,1969,785,523,158,83,5740,2576,4799,1973,158,521,783,82,5,2012,True
5,2013,5469,2523,4474,1868,842,581,153,74,5468,2520,4474,1868,152,579,839,73,5,2013,True
6,2011,76529,32382,66738,26511,5043,3291,4748,2580,73678,31142,64366,25573,4538,3106,4779,2463,6,2011,True
6,2012,79829,33343,69606,27306,5176,3348,5047,2689,79828,33353,69610,27313,5047,3348,5177,2692,6,2012,True
6,2013,75850,31896,65703,25622,5176,3527,4974,2747,75850,31896,65700,25622,4977,3527,5177,2747,6,2013,True
8,2011,12331,5253,9777,3774,1129,716,1425,763,11811,4998,9394,3608,1346,672,1072,718,8,2011,True
8,2012,12869,5380,10131,3842,1222,753,1515,785,12872,5385,10135,3847,1514,756,1223,782,8,2012,True
8,2013,12411,5237,9661,3655,1219,765,1532,817,12415,5240,9666,3657,1532,765,1218,818,8,2013,True
9,2011,10542,4068,8819,3215,1012,586,712,267,10113,3890,8493,3093,668,548,954,249,9,2011,True
9,2012,10940,4085,9083,3225,1092,592,765,268,10941,4084,9083,3225,765,591,1092,268,9,2012,True
9,2013,10876,4190,8901,3214,1164,641,814,335,10875,4190,8902,3213,815,642,1164,335,9,2013,True
10,2011,2298,927,1908,748,239,130,151,49,2195,892,1827,724,142,122,227,46,10,2011,True
10,2012,2417,1006,1986,793,277,156,154,57,2416,1006,1987,793,154,156,277,57,10,2012,True
11,2011,2589,849,2318,726,177,89,94,34,2534,825,2279,711,87,83,169,31,11,2011,True
12,2011,44861,18140,37148,14480,4512,2483,3201,1177,42939,17285,35706,13869,3000,2323,4238,1093,12,2011,True
12,2012,46932,18754,38831,14975,4675,2579,3427,1200,46905,18759,38801,14978,3428,2581,4675,1200,12,2012,True
12,2013,45599,18496,37130,14258,4977,2926,3494,1312,45597,18504,37129,14259,3497,2928,4978,1317,12,2013,True
13,2011,19413,8287,15722,6383,1963,1276,1728,628,18683,7940,15178,6152,1648,1195,1859,593,13,2011,True
13,2012,20460,8660,16515,6661,2111,1353,1833,646,20470,8653,16524,6659,1833,1352,2113,642,13,2012,True
13,2013,20434,8695,15987,6408,2413,1562,2034,725,20434,8693,15984,6409,2036,1562,2416,722,13,2013,True
15,2011,2855,1251,2615,1098,145,100,95,53,2767,1214,2540,1071,89,94,137,49,15,2011,True
16,2011,3626,1584,2715,1042,416,269,495,273,3515,1537,2649,1026,468,252,396,259,16,2011,True
16,2012,3737,1694,2718,1095,475,295,543,304,3739,1690,2723,1095,541,293,476,302,16,2012,True
16,2013,3603,1657,2560,1045,489,305,555,307,3605,1660,2561,1046,557,305,487,309,16,2013,True
17,2011,27624,12095,24212,10234,1893,1175,1519,686,26623,11693,23362,9917,1453,1127,1807,649,17,2011,True
17,2012,28560,12395,24928,10439,2055,1260,1577,696,28561,12399,24930,10444,1577,1262,2060,693,17,2012,True
17,2013,27755,12144,23892,9950,2254,1463,1611,731,27758,12143,23891,9950,1609,1465,2255,728,17,2013,True
18,2011,14534,5995,12169,4778,1876,1070,489,147,14042,5816,11779,4654,476,1021,1789,141,18,2011,True
18,2012,14881,6210,12385,4874,1999,1172,497,164,14879,6210,12390,4875,498,1171,2000,164,18,2012,True
18,2013,14789,6329,12160,4813,2120,1324,508,192,14795,6330,12157,4812,508,1326,2116,192,18,2013,True
19,2011,6313,3043,4937,2190,745,472,632,381,6015,2911,4699,2104,600,449,710,358,19,2011,True
19,2012,6598,3168,5107,2246,848,540,644,382,6588,3163,5100,2237,642,541,846,385,19,2012,True
19,2013,6601,3231,4939,2186,1002,653,661,392,6606,3231,4945,2185,661,654,1002,392,19,2013,True
20,2011,6628,3028,5109,2198,878,506,641,324,6412,2920,4959,2129,612,481,843,310,20,2011,True
20,2012,6752,3077,5164,2226,915,512,674,339,6750,3074,5162,2226,675,510,913,338,20,2012,True
20,2013,6571,3025,4956,2116,941,573,675,336,6565,3021,4954,2116,674,570,936,335,20,2013,True
21,2011,10127,4488,8038,3229,1492,952,598,307,9774,4338,7778,3146,568,899,1419,293,21,2011,True
21,2012,10673,4750,8377,3371,1677,1067,620,312,10676,4749,8376,3375,618,1063,1673,311,21,2012,True
21,2013,10494,4690,7965,3146,1891,1234,638,310,10514,4696,7976,3149,635,1241,1891,306,21,2013,True
22,2011,9975,4029,8481,3238,1088,667,406,124,9593,3887,8182,3138,379,634,1032,115,22,2011,True
22,2012,10527,4262,8891,3384,1191,750,446,128,10530,4261,8894,3384,445,749,1190,128,22,2012,True
22,2013,10323,4279,8472,3201,1380,912,471,166,10323,4277,8471,3202,471,909,1380,166,22,2013,True
23,2011,3992,1935,3078,1364,574,387,340,184,3827,1858,2961,1319,322,365,542,174,23,2011,True
23,2012,4125,1985,3102,1362,650,426,373,197,4126,1988,3102,1365,375,426,650,197,23,2012,True
23,2013,4010,1900,2969,1273,665,428,379,199,4010,1894,2971,1269,379,426,665,199,23,2013,True
24,2011,14306,5997,12327,4944,1095,678,884,375,13897,5844,11983,4824,854,656,1057,364,24,2011,True
24,2012,15311,6292,13153,5167,1188,713,970,412,15311,6294,13155,5167,970,713,1188,414,24,2012,True
24,2013,14960,6016,12682,4795,1274,795,1004,426,14960,6021,12681,4797,1007,797,1277,427,24,2013,True
25,2011,20107,8525,16903,6676,2398,1537,806,312,19525,8305,16434,6514,767,1492,2324,299,25,2011,True
25,2012,21233,8820,17818,6884,2565,1611,851,325,21233,8822,17818,6886,851,1611,2564,325,25,2012,True
25,2013,21217,8769,17554,6710,2713,1687,951,372,21217,8768,17554,6710,952,1688,2714,370,25,2013,True
26,2011,23388,10499,19930,8624,1589,969,1869,906,22602,10167,19297,8363,1795,931,1512,873,26,2011,True
26,2012,24020,10626,20403,8641,1682,1037,1935,948,24025,10633,20410,8644,1932,1040,1681,949,26,2012,True
